section_key,char_offset,point_name_ref,classify,stitch_to,correction_field,correction_value,note
3.14.31,173476,Pherai,,,lat_ferro,35.25,"Likely transcription typo for 35°15' -- every neighbouring citation in this section sits at ~35 degrees, this one alone reads 30°15', a visibly dangling red open-trail-end point on the rendered map before this fix."
2.6.10,62066,Oiasso extreme end of the Pyrenees,,2.7.1@74537,,,"Same place as Ocasso promontory of the Pyrenees (2.7.1) -- the Pyrenees own Atlantic end, cited once from Vascones (2.6, Tarraconensis) and once from Aquitania (2.7) as their shared boundary point. Confirmed via the automatic stitch suggestion (0.17 degree gap, essentially identical coordinates)."
3.1.5,112221,Ostia,,,lon_ferro,36.5,"Cited at 33°30' longitude, 3 degrees west of its own immediate neighbours (mouth of the Tiber river at 36°30', Antium at 36°50') and its own latitude matches the Tiber mouth exactly -- Ostia is the Tiber-mouth port in reality, so it renders 3 degrees out to sea instead of on the coastal walk with its neighbours. Corrected to the Tiber mouth's own longitude (36°30'), putting it back in line with the walk."
6.12.3,339135,Iaxartes tributary source ('whose sources lie in'),,,lon_ferro,112.0,"Found via the new river line-building: this citation's own longitude is 12°00', while its immediate neighbours in the same section (the two 'Its junction with the river Iaxartes occurs' citations either side of it) are at 123-124°00' -- an isolated leading-digit drop (112 -> 12) turned a short Iaxartes tributary into a 220-degree-long line running clear across the map. Corrected to 112°00', consistent with its neighbours."
7.1.7,361579,Mouth of the River Nanagouna,,,lon_ferro,114.5,"Found via the new river line-building: this mouth's own longitude is 14°30', while every other citation in the same section (Mandagara, Byzanteion, Chersonesos, Armagara, Nitra) sits at 113-115°30' -- a dropped leading '1' (114.5 -> 14.5). Corrected to 114°30', which slots it in cleanly between its neighbours Armagara (114°20') and Nitra (115°30')."
3.10.2,149778,mouth called Boreios,,,lat_ferro,46.833333,"Found via the new river line-building: this citation's own latitude is 6°50', while every other citation in the same section's Danube-delta mouth list sits at 46-47°15' -- a dropped leading '4' (46.833 -> 6.833). Corrected to 46°50'."
3.10.2,149935,mouth called Narakion,,,lat_ferro,46.333333,"Same dropped-leading-'4' error as the neighbouring 'mouth called Boreios' citation just before it in the same Danube-delta mouth list (46.333 -> 6.333, confirmed by every other citation in §3.10.2 sitting at 46-47°15'). Corrected to 46°20'."
5.13.3,279118,bare 'and' (Araxes/Kyros boundary limit point),,,lat_ferro,40.666667,"Found via the new river line-building: this citation's own latitude is 30°40', well south of its immediate neighbours in the same boundary sentence (79-80°00' longitude citations at 42°30'-43°20' latitude). Corrected to 40°40', consistent with the surrounding boundary line."
2.9.5,82232,Castellum (Menapii city),,,lat_ferro,52.25,"Found via the new river line-building: this city's own latitude is 22°15', while the immediately preceding citation in the same sentence (Atuatucum of the Tungri) sits at 52°20' -- a dropped leading '5' (52.25 -> 22.25). Corrected to 52°15', keeping it with its own Belgica/Germania neighbours instead of stranding it near the equator."
6.10.1,334566,Margos river sources (Margiane boundary declaration),,,lat_ferro,40.65,"Found via the new river line-building: this citation's own latitude is 20°39', while the rest of the same boundary sentence's citations (and the Margos's own later citation in §6.10.4) sit at 39-44°00' -- consistent with a dropped leading digit. Corrected to 40°39', in line with the surrounding Margiane boundary."
